Offset,Variable,Comments
,,
GObj,Length 0x38,"This is the same entity structure used by players, objects, and items"
0x00,Entity Class,Short.
0x02,p_link,Byte.
0x03,gx_link,Byte.
0x04,p_priority,Byte.
0x05,gx_priority,Byte.
0x06,obj_kind,Byte. Set to 0xFF for NO REF.
0x07,data_kind,Byte. Set to 0xFF for NO REF.
0x08,Next GObj data pointer,Pointer.
0x0C,Previous GObj data pointer,Pointer.
0x10,Next GObj data pointer - GX Ordered,Pointer.
0x14,Previous GObj data pointer - GX Ordered,Pointer.
0x18,Pointer to GObjProc,
0x1C,GXCallback Render Function,"Always seems to be 0x80080E18(entity_t*, int code) for players and 0x8026EECC for items, called each frame"
0x20,Render Priorities,64-bit bitmask. Only valid for a CObj referencing GObj. Each bit determines which priority level is rendered by that camera.
0x28,Pointer to HSD Object,"Typically CObj, JObj, LObj, or Fog"
0x2C,Pointer to Entity Data,
0x30,Pointer to Destructor Function,"Always 0x8006DABC for players. 0x8026AE10 for Blaster, possibly same for other items."
0x34,Unk Linked List,
,,
GObjProc,,
0x00,Parent,Pointer
0x04,Next,Pointer
0x08,Prev,Pointer
0x0C,s_link,Byte
0x0D,Flags,Byte
0x10,Parent GObj,
0x14,Proc Function,
,,
Camera Struct,,Typically found at 80452C68
0x00,Pointer to Entity Struct,
0x04,Camera Type,"Int. Index used by 803BCB18. 0 = Normal, 1 = Pause, 2 = One Player View (Off-Center), 3 = One Player View (Centered), 4 = Fixed, 5 = Crazy, 6 = Demo, 8 = Developer Locked"
0x08,Background Color,Byte. First 6 bits are hex color code
0x0C,View Distance?,Float
0x10,Distance to Background?,Float
0x14,Pan Angle,"Float. + = Right, - = Left."
0x18,Tilt Angle,"Float. + = Up, - = Down."
0x1C,Tilt Angle 2?,"Float. Only seems to tilt downward. Setting it causes the camera to jump to P1, if unpaused"
0x2C,Pan Around Point Angle?,Float
0x30,Tilt Around Point Angle?,Float
0x34,Depth,Float. + = Further Away
0x3C,Tilt Around Point Angle (Repeated),Float.
0x40,Depth (Repeated),Float. Upper Limit set by Stage Data.
0x44,Field of View,Float
0x84,X Translation,"Float. + = Right, - = Left."
0x88,Y Translation,"Float. + = Up, - = Down."
0x3D8,Tracking X-Coordinate,Float
0x3DC,Tracking Y-Coordinate,Float
0x3E0,Tracking Z-Coordinate,Float
0x3E4,Type 8: X-Coordinate,Float.
0x3E8,Type 8: Y-Coordinate,Float.
0x3EC,Type 8: Z-Coordinate,Float.
,,
Item Data Struct,Length 0x1000,
0x00,Pointer to Next Entity Struct,
0x04,Pointer to Entity Struct,
0x08,???,0x08 & 0x0C are either flags or garbage. Only set after something expires it seems.
0x0C,???,
0x10,Item Type,
0x14,Item Sub Type,0x08 = Player Spawned? 0x4 = Game Spawned?
0x1C,Item Spawn Count,
0x20,???,"Possibly flags. Seems to be set when an item has expired, like a laser."
0x28,State Index,"0 = On Ground, 2 = Held, 3 = Airborne (This index is used for 0xBC function pointers)"
0x2C,Direction,Float. -1 to 1
0x30,Direction (Repeated?),Float.
