T,Title,Single line or function?,Description,Registers,Unnamed: 5
SFX & Audio,,,,,
8038cff4,Play sound effect,Function,,"r3 = sfx ID; r4 = volume (00 - FF); r5 = ?? (usually 0x80); r6 = ?? (00-FF); r7 = echo parameter? (00-0F, usually 7 in-game)",
80024030,Play menu sound effect,Function,"Play a menu sound. Leads to the above function but takes more neatly-assorted menu sound IDs, and all the menus use this.",r3 = sfx ID,
8017435c,"Play menu sound: ""Back""",Function,Plays the menu sound made when pressing B. No parameters/registers are required.,,
80174338,"Play menu sound: ""Forward""",Function,Plays the menu sound made when pressing A. No parameters/registers are required.,,
80174380,"Play menu sound: ""Select""",Function,Plays the menu sound made when pressing up/down. No parameters/registers are required.,,
80023f28,Play music,Function,,r3 = HPS ID #,
800236dc,Stop music,Function,,,
8038bd6c,Stop all sound effects,Function,,,
In-Game Mechanics,,,,,
80034110,Get character data pointer,Function,Returns a pointer for the character data based on the given player number.,r3 = player number,
8006ad10,Main character loop,Function,Top-level character update; runs once per character per frame in game loop,,
80033c60,Set initial stock count,Function,Stores stock amount to a player at the beginning of the match. Runs once per player.,r5 = stock count; r3 = player number,
80033ce0,Lose a stock,Function,"Loads the player's stock count, subtracts 1, then stores it unless if the player number zero-indexed is greater than 5 which freezes the game.",r3 = player number,
800693ac,Load action state,Function,Load new action state for a character. Every action state has an init function before branching to this.,"f1 = starting frame, r3 = char data offset, r4 = action state ID,",
8008cfac,Init aerial action state (takes any state ID),Function,"All aerials use this init function. However, any state ID is accepted, making this very versatile for loading any normal state.",r4 = state ID,
8006b808,Action state IASA check,Single line,Branches to the IASA check of the current action state,,
8016c080,End stock game,Single line,"Sets a register to 1 that causes ""GAME!"" to trigger. Noping this will prevent any win conditions from ending the match.",,
8016b558,Count players in match,Function,"No input, walks the 6 player blocks and checks the ""player type""",output r3 = number of characters in match,
80164840,Get character unlock status,Function,Checks if a given character is unlocked from its external ID,"input r3 = character external ID; output r3 = 0 if locked, 1 if unlocked",
8019f6ec,Game Over screen,Function,"Ends the game if state ID in r0 is not ""0"".",,
8019fce0,Load game over state for Continue popup,Single line,Loads the state ID and checks which state it is. Noping this will remove it from the screen regardless if it is a Game Over or not.,,
8019fce4,Continue popup state ID check,single line,"Checks which Game Over state it is for the continue popup. If the value is different from 0, then the game will delete the popup from the screen.",r0 = Game Over state ID,
801a09d4,Continue SFX and Music state ID check,single line,"Checks which Game Over state it is for the audio to be played on the background. If the value in the register does not match 0, then they will remain silent. Noping this code will prevent the audio from playing with any state in the register after loading the screen.",,
801a0a10,Game Over coin check,Function,"Checks how many coins the player has before ending the game. Coins lower than the required sets the register ""r0"" to 1 and then stores it.",input r0 = required coins; r5 = coins the player has,
801a0a84,Continue state,Single line,Sets the register to 0 if the coins is equal to or higher than the amount of required coins and then stores the state.,output r0 = Game Over state ID,
801a0a90,Game Over state,Single line,Sets the register to 1 if the coins is less than the amount of required coins and then stores the state.,output r0 = Game Over state ID,
8003722c,Check and update Stale Moves,Function,"Checks to see if a collision is part of a multi-hit move that has already hit, reads the stale move table, and updates the table accordinlgly",,
80268B18,SpawnEntity,Function,Allows you to spawn Entities of the provided struct pointer,r3 Entity*,
Random Number Generator,,,,,
80380580,,Function,Main RNG function; takes the value from 0x804d5f90 and calculates a new value before storing it back,"input r3 = number of possible numbers (1-indexed) , output r3 = random number (0-indexed)",
80380528,,Function,In-game RNG function; runs several times per frame to calculate random events for graphics such as dust clouds,,
803805bc,,,,,
803804f8,,,,,
801b2ba4,Set Classic Mode stage + character,Function,"Picks a random index from a defined lookup table of stages and characters, then outputs its pointer. Called multiple times upon starting Classic Mode, presumably storing the entire run in one go","
input r3 = pointer to lookup table; r13 = pointer to pointer to player's character ID (read through function 8015cdc8); output r3 = pointer to index",(Not sure if this should be here or in in-game mechanics)
Menu Navigation Function,,,,,
801a42f8,,Function,"I don't know a lot about this function howerver, setting a breakpoint here and looping stepping through makes it easy to write codes like Boot to CSS etc.",r3 = next screen,
Stages,,,,,
80164430,Get stage unlock status,Function,"Checks if a given stage is unlocked, from either its standard ID or a classic mode equivalent
","input r3 = stage ID; output r3 = 0 if locked, 1 if unlocked",
GFX & Visual,,,,,
802F3B04,Timer Milliseconds (visual),Single line,"This line of code sets what the timer's milliseconds slot displays (does not affect actual millisecond value, only the visual indicator in the timer) 0x00 - 0x63 (0-99), anything higher will just cut the upper numbers off",Put the value you want to display in the milliseconds slot into r24. Originally moves the value from r5. - Savestate,
Misc,,,,,
80014BD0,Fetch data from ARAM?,Function,"Copies a 32-byte-aligned chunk of data from ARAM into RAM. Used for loading individual animations from the full copy of PlxxAJ which sits in ARAM, probably among other uses. Calls the relevant lower level functions to do the actual memory copying","r3 = pointer to start of data block in ARAM
r4 = pointer to target location in RAM
r5 = size of data block
r6 = unknown, I've only seen it be 0
r7 = unknown, I've only seen it be 0
Directly before calling, r31 was set to hardcoded 804316c0. Relevant?",
