http://smashboards.com/threads/custom-subaction-event-character-data-modifications.429112/#post-20920399,Unnamed: 1,Unnamed: 2,Unnamed: 3
,,,
*Hitbox Data Offsets Start*,,Size 0x138,
,,,
0x0,Hitbox Status,"(0 is disabled, 1 (set to this value by the hitbox subaction event handler specifically at 0x800712B0), 2 initialized/enabled, 3 triggered) Doesn't actually revalidate hitboxes alone.",
0x4,Hitbox Group,"Read via (subaction data + 1 >> 4) & 7. If it matches another previous hitbox, then data from 0x74+ is copied in. Essentially determines if a hitbox could multi-hit by having different hitbox groups.","This will be compared against each Hitbox and if it matches, it'll overwrite the existing hitbox's 0x74+ with its own, which would be 0'ing out that group if a hitbox is newly initialized. Presumably, this would cause it to know on the following frame if a hitbox had hit or not, or if multiple are in the same group, only 1 can hit."
0x8,"Damage (Unstaled, Int) ",For use in damage calculation as hitbox damage,
0xC,"Damage (Staled, Float)",,
0x10,Z offset from bone (float),,
0x14,Y offset from bone (float),,
0x18,X offset from bone (float),,
0x1C,Size of hitbox (float),,
0x20,Knockback Angle (int),,
0x24,Knockback Growth (int),,
0x28,Weight-Dependent Base Knockback(int),,
0x2C,,,
0x30,Element (int),,
0x34,Shield Damage (int),,
0x38,Hit SFX (int),,
0x3C,Hit SFX type (int),,
0x40,Flags 1,Bit 7: Hits Grounded Foes; Bit 6: Hits Aerial Foes; Bit 5: Hitbox Interaction Bit 1; Bit 4: Hitbox Interaction Bit 2,
0x41,Flags 1,Initialized to 0b????0000.,
0x42,Flags 1,Initialized to 0b010?01?1.,
0x43,Flags 1,Bit 5 is initialized to 0.,
0x44,Flags 2,Copied in 0x800084fc.,
0x45,Flags 2,Copied in 0x800084fc.,
0x46,Flags 2,,
0x47,Flags 2,,
0x48,Bone Attachment Data Pointer,,
0x4C,Z Position (float),,
0x50,Y Position (float),,
0x54,X Position (float),,
0x58,Last Z Position (float),,
0x5C,Last Y Position (float),,
0x60,Last X Position (float),,
0x64,Last Collision Z Position (float),,
0x68,Last Collision Y Position (float),,
0x6C,Last Collision X Position (float),,
0x70,,,
0x74,Pointer of Player Hit,"Repeats every 0x8 offset after this, 12 times. If pointer exists, then that player cannot be hit again by any of these hitboxes.",
0x78,???,Copied in 0x800084fc. Potentially part of 0x74,
0x7C-0xB3,???,Copied in 0x800084fc. Assembly suggests that they are potentially doublewords.,
0xB4 (0xBC?),???,"Copied in 0x800084fc. Array of some 8 byte-sized structure, length 4.",
0xD4-0x113,???,Copied in 0x800084fc. Assembly suggests that they are potentially doublewords.,
0x114,???,"Copied in 0x800084fc. Array of some 8 byte-sized structure, length 4.",
0x134,???,The highest bit is set to bit 3 of an out of bounds byte? Idk the code for this (near the end of 0x8007121C) doesn't make sense.,
