"Information courtesy of Tatata0 on the Melee Light Discord. Achilles: [...] Hurtboxes start at 0x11AC, spaced 0x4C apart. Hitbox0 starts 0x914 of char data offset, spaced 0x138 apart.",Unnamed: 1,Unnamed: 2
,,
*Hurtbox Data Offsets Start*,,
,,
0x0,,
0x4,,
0x8,,
0xC,,
0x10,Scale,"Hurtbox scale, uniform value that scales the entire capsule."
0x14,,
0x18,,
0x1C,End 1 - X Position,"Global cooridnates for each end point, updated every frame."
0x20,End 1 - Y Position,Changes only affect the hurtbox at the exact time they're updated in game time. Can be studied in develop mode pause menu.
0x24,End 1 - Z Position,
0x28,End 2 - X Position,
0x2C,End 2 - Y Position,
0x30,End 2 - Z Position,
0x34,,
0x38,,
0x3C,,
0x40,,
0x41,,
0x42,,
0x43,,
0x44,,
0x45,,
0x46,,
0x47,,
0x48,,
0x4C,,
