Character External ID,Character Internal ID,Stage ID,Internal Stage ID,CPU AI Type,ITEMS,Element ID,Status List,SFX ID,Name Tags,Music,Unnamed: 11,Unnamed: 12,Menus
,,,,,,,,,,Original Music Track,Filename (.hps),Music ID,
0x00   // Captain Falcon,0x00   // Mario,DEBUG,0x02 Princess Peach's Castle,00 = // stay,0x00 // Capsule,0x00 = Normal,00000001 (1)     // Stamina,0000 - 00A9: In-game sound effects,DEFAULT,All-Star Rest Area,1p_qk,00,00 - Title Screen (Press Start)
0x01   // Donkey Kong,0x01   // Fox,000 [000]   // Dummy,0x03 Rainbow Cruise,02 = // escape,0x01 // Box,0x01 = Fire,00000010 (2)     // No Character Voice,00AA: Trophy get,RC,Fire Emblem,akaneia,01,01 - Reloads menu from language change? (brings to language change selection and saves)
0x02   // Fox,0x02   // Captain Falcon,001 [001]   // TEST,0x04 Kongo Jungle,,0x02 // Barrel (Taru),0x02 = Electric,00000100 (4)     // Low Gravity,00AB: Award jingle,VIVI,Balloon Fight,baloon,02,02 - VS mode character select
0x03   // Mr. Game & Watch,0x03   // Donkey Kong,,0x05 Jungle Japes,03 = // jump,0x03 // Egg,0x03 = Slash,00001000 (8)     // Invisible,00AC: Menu back,64DD,Big Blue,bigblue,03,03 - Classic Mode
0x04   // Kirby,0x04   // Kirby,STANDARD,0x06 Great Bay,04 = // normal,0x04 // Party Ball (Kusudama),0x04 = Coin,00010000 (16)    // Metal Icon,00AD: Menu forward,6502,Princess Peach's Castle,castle,04,04 - Adventure Mode
0x05   // Bowser,0x05   // Bowser,002 [002]   // Fountain of Dreams (Izumi) ,0x07 Hyrule Temple,05 = // manual,0x05 // Barrel Cannon (TaruCann),,00100000 (32)    // Metal Character,00AE: Menu up/down,AMPM,Continue,continue,05,05 - All-Star Mode
0x06   // Link,0x06   // Link,003 [003]   // Pokémon Stadium (Pstadium),0x08 Brinstar,06 = // nana,0x06 // Bob-omb (BombHei),0x06 = Sleep (103 frames),01000000 (64)    // Unknown/Unused,00AF: Menu access denied,BABA,Corneria,corneria,06,06 - Debug Menu
0x07   // Luigi,0x07   // Sheik,004 [004]   // Princess Peach's Castle (Castle),0x09 Brinstar Depths,07 = // defensive,0x07 // Mr. Saturn (Dosei),0x07 = Sleep (412 frames),10000000 (128)   // Vibration Setting on,00B0: Magnifier damage sound,BOMB,Dr. Mario,docmari,07,07 - Master Sound Test
0x08   // Mario,0x08   // Ness,005 [005]   // Kongo Jungle (Kongo),0x0A Yoshi's Story,08 = // struggle,0x08 // Heart Container,0x08 = Grounded,,00B1: Pause sound, ,Ending Fanfare,ending,08,"08 - Looks like regular VS mode, but actually cycles through many different character select screens"
0x09   // Marth,0x09   // Peach,006 [006]   // Brinstar (Zebes),0x0B Yoshi's Island,09 = // freak,0x09 // Maxim Tomato,0x09 = Grounded,,00B2: Star Fox intercom sound,EAD,Demo Fanfare (Unused),famidemo,09,09 - Black Screen...?
0x0A   // Mewtwo,0x0A   // Popo,007 [007]   // Corneria,0x0C Fountain of Dreams,0A = // cooperate,0x0A // Starman (Super Star),0x0A = Cape,,00B3: Results screen left/right,HVC,1P Mode Fanfare 1,ff_1p01,0a,0A - Camera Mode
0x0B   // Ness,0x0B   // Nana,008 [008]   // Yoshi's Story (Story),0x0D Green Greens,0B = // splwlink (Bomb-Fest Event Link),0x0B // Home-Run Bat,0x0B = Empty,,00B4: Results screen coin get,MIC,1P Mode Fanfare 2,ff_1p02,0b,0B - Trophy Gallery
0x0C   // Peach,0x0C   // Pikachu,009 [009]   // Onett,0x0E Corneria,0C = // splwsamus (Bomb-Fest Event Samus),0x0C // Beam Sword,0x0C = Disable,,00B5 - 00C1: Misc menu sounds,N64,Unused Bad Fanfare,ff_bad,0c,0C - Trophy Lottery
0x0D   // Pikachu,0x0D   // Samus,010 [00A]   // Mute City,0x0F Venom,0D = // onlyitem,0x0D // Parasol,0x0D = Darkness,,00DB - 013C: Item sounds,NEO,Donkey Kong Victory Theme,ff_dk,0d,0D - Trophy Collection
